year,rank,song,singer,urls,top_predicted_genre,second_predicted_genre,third_predicted_genre
1973,33,I'm Gonna Love You Just a Little More Baby,Barry White,https://www.youtube.com/watch?v=TOHoaP36hgA,Electronic,Rock,Pop
1973,34,"Say, Has Anybody Seen My Sweet Gypsy Rose",Tony Orlando and Dawn,https://www.youtube.com/watch?v=3Q-m_CxQacM,Instrumental,Rock,Folk
1973,35,Keep on Truckin',Eddie Kendricks,https://www.youtube.com/watch?v=Mx43392TEbA,Jazz,Rock,Folk
1973,36,Danny's Song,Anne Murray,https://www.youtube.com/watch?v=e5C255Pw7KI,Spoken,Pop,Rock
1973,37,Dancing in the Moonlight,King Harvest,https://www.youtube.com/watch?v=SEb8tuYhDBI,Rock,Electronic,Pop
1973,38,Monster Mash,Bobby 'Boris' Pickett,https://www.youtube.com/watch?v=-YpwUuoun2E,Spoken,Pop,Rock
1973,39,Natural High,Bloodstone,https://www.youtube.com/watch?v=QBHBp-ZCoq4,Jazz,Rock,Pop
1973,40,Diamond Girl,Seals and Crofts,https://www.youtube.com/watch?v=RC-oP84mRME,Spoken,Pop,Rock
1973,41,Long Train Runnin',The Doobie Brothers,https://www.youtube.com/watch?v=m4tJSn0QtME,Pop,Rock,Electronic
1973,42,Give Me Love (Give Me Peace on Earth),George Harrison,https://www.youtube.com/watch?v=ZbgCtrkam_U,Rock,Folk,Pop
1973,43,If You Want Me to Stay,Sly & the Family Stone,https://www.youtube.com/watch?v=gZFabOuF4Ps,Pop,Rock,Folk
1973,44,Daddy's Home,Jermaine Jackson,https://www.youtube.com/watch?v=Fx_Y_0K3Hx4,Jazz,Pop,Instrumental
1973,45,Neither One of Us (Wants to Be the First to Say Goodbye),Gladys Knight & the Pips,https://www.youtube.com/watch?v=i810mVyAZDw,Jazz,Pop,Folk
1973,46,I'm Doin' Fine Now,New York City,https://www.youtube.com/watch?v=fBUO0YsK1WI,Rock,Pop,Folk
1973,47,Could It Be I'm Falling in Love,The Spinners,https://www.youtube.com/watch?v=EU4UTDrSwQc,Jazz,Folk,Classical
1973,48,Daniel,Elton John,https://www.youtube.com/watch?v=0f0TMfQNRk8,Folk,Pop,Rock
1973,49,Midnight Train to Georgia,Gladys Knight & the Pips,https://www.youtube.com/watch?v=A0F9lh8TiSM,Rock,Pop,Jazz
1973,50,Smoke on the Water,Deep Purple,https://www.youtube.com/watch?v=0WpKpcEORxo,Pop,Rock,Folk
1974,1,The Way We Were,Barbra Streisand,https://www.youtube.com/watch?v=ifWOSnoCS0M,Jazz,Classical,Pop
1974,2,Seasons in the Sun,Terry Jacks,https://www.youtube.com/watch?v=bWdQbxNEFEs,Pop,Spoken,Folk
1974,3,Love's Theme,Love Unlimited Orchestra,https://www.youtube.com/watch?v=RLTJ95kj9ng,Pop,Rock,Electronic
1974,4,Come and Get Your Love,Redbone,https://www.youtube.com/watch?v=Dj0drevGOgA,Instrumental,Electronic,Pop
1974,5,Dancing Machine,The Jackson 5,https://www.youtube.com/watch?v=VORrgGlgL28,Folk,Jazz,Classical
1974,6,The Loco-Motion,Grand Funk Railroad,https://www.youtube.com/watch?v=7HRhEEm8Dic,Rock,Pop,Jazz
1974,7,TSOP (The Sound of Philadelphia),MFSB,https://www.youtube.com/watch?v=LS2PQs_IRNk,Rock,Pop,Instrumental
1974,8,The Streak,Ray Stevens,https://www.youtube.com/watch?v=bkaiCPgQ6bg,Spoken,Pop,Rock
1974,9,Bennie and the Jets,Elton John,https://www.youtube.com/watch?v=wo1OwRTRKRk,Pop,Rock,Electronic
1974,10,One Hell of a Woman,Mac Davis,https://www.youtube.com/watch?v=yOlzeTVXBEY,Pop,Rock,Folk
1974,11,Until You Come Back to Me (That's What I'm Gonna Do),Aretha Franklin,https://www.youtube.com/watch?v=Nbokg0KM-n8,Jazz,Rock,Folk
1974,12,Jungle Boogie,Kool & the Gang,https://www.youtube.com/watch?v=-BM5wPOe0xQ,Pop,Rock,Folk
1974,13,Midnight at the Oasis,Maria Muldaur,https://www.youtube.com/watch?v=VlrKETxwRvM,Pop,Rock,Jazz
1974,14,You Make Me Feel Brand New,The Stylistics,https://www.youtube.com/watch?v=dJm51jsRoo0,Jazz,Classical,Folk
1974,15,Show and Tell,Al Wilson,https://www.youtube.com/watch?v=4qgXxFG-Mok,Jazz,Rock,Instrumental
1974,16,Spiders and Snakes,Jim Stafford,https://www.youtube.com/watch?v=Je3EiwKArlQ,Pop,Rock,Folk
1974,17,Rock On,David Essex,https://www.youtube.com/watch?v=ckgGUhCuEJI,Electronic,Pop,Spoken
1974,18,Sunshine on My Shoulders,John Denver,https://www.youtube.com/watch?v=diwuu_r6GJE,Folk,Pop,Rock
1974,19,Sideshow,Blue Magic,https://www.youtube.com/watch?v=_Rs3vqF3nPo,Pop,Spoken,Folk
1974,20,Hooked on a Feeling,Blue Swede,https://www.youtube.com/watch?v=w5jkAkm4JmM,Pop,Folk,Rock
1974,21,Billy Don't Be a Hero,Bo Donaldson and The Heywoods,https://www.youtube.com/watch?v=AjilwTUGE5g,Pop,Rock,Folk
1974,22,Band on the Run,Paul McCartney and Wings,https://www.youtube.com/watch?v=RjlvdcBAKdg,Pop,Jazz,Rock
1974,23,The Most Beautiful Girl,Charlie Rich,https://www.youtube.com/watch?v=Ew60rig0Ej4,Pop,Rock,Spoken
1974,24,Time in a Bottle,Jim Croce,https://www.youtube.com/watch?v=3yiYsbQ6oEo,Rock,Folk,Jazz
1974,25,Annie's Song,John Denver,https://www.youtube.com/watch?v=eMCihEW3Tlc,Classical,Rock,Folk
1974,26,Let Me Be There,Olivia Newton-John,https://www.youtube.com/watch?v=rR8hCFfvZPk,Rock,Pop,Folk
1974,27,Sundown,Gordon Lightfoot,https://www.youtube.com/watch?v=YdBU-jpJJtA,Folk,Rock,Pop
1974,28,(You're) Having My Baby,Paul Anka,https://www.youtube.com/watch?v=SFHWl-ZyRAg,Pop,Folk,Rock
1974,29,Rock Me Gently,Andy Kim,https://www.youtube.com/watch?v=e00sWHSGfqQ,Electronic,Pop,Folk
1974,30,Boogie Down,Eddie Kendricks,https://www.youtube.com/watch?v=OpU5ZTYlp1A,Jazz,Rock,Instrumental
1974,31,You're Sixteen,Ringo Starr,https://www.youtube.com/watch?v=1U32szYVAY8,Rock,Instrumental,Electronic
1974,32,If You Love Me (Let Me Know),Olivia Newton-John,https://www.youtube.com/watch?v=dkMkHpKpLkM,Rock,Pop,Spoken
1974,33,Dark Lady,Cher,https://www.youtube.com/watch?v=JXUH7Wk8-WI,Instrumental,Pop,Rock
1974,34,Best Thing That Ever Happened to Me,Gladys Knight & the Pips,https://www.youtube.com/watch?v=8FT5QF4JZUA,Classical,Instrumental,Rock
1974,35,Feel Like Makin' Love,Roberta Flack,https://www.youtube.com/watch?v=xVybozv_L3M,Jazz,Rock,Instrumental
1974,36,Just Don't Want to Be Lonely,The Main Ingredient,https://www.youtube.com/watch?v=MWCixfAT-3I,Pop,Rock,Folk
1974,37,Nothing from Nothing,Billy Preston,https://www.youtube.com/watch?v=IX2bE-OBtwk,Rock,Jazz,Folk
1974,38,Rock Your Baby,George McCrae,https://www.youtube.com/watch?v=arxhW1RgDDo,Instrumental,Rock,Old-Time / Historic
1974,39,Top of the World,The Carpenters,https://www.youtube.com/watch?v=SKyrZiKVRvU,Folk,Rock,Pop
1974,40,The Joker,Steve Miller Band,https://www.youtube.com/watch?v=dV3AziKTBUo,Jazz,Pop,Rock
1974,41,I've Got to Use My Imagination,Gladys Knight & the Pips,https://www.youtube.com/watch?v=3i6mp6tBGZY,Pop,Rock,Folk
1974,42,The Show Must Go On,Three Dog Night,https://www.youtube.com/watch?v=xtAlzo_pqys,Jazz,Instrumental,Rock
1974,43,Rock the Boat,The Hues Corporation,https://www.youtube.com/watch?v=t3w9RyL2tG0,Rock,Pop,Folk
1974,44,Smokin' in the Boys Room,Brownsville Station,https://www.youtube.com/watch?v=nK-hzAyTgn0,Rock,Pop,Country
1974,45,Living for the City,Stevie Wonder,https://www.youtube.com/watch?v=7_RgaYueeh4,Pop,Rock,Instrumental
1974,46,Then Came You,"Dionne Warwick,The Spinners,",https://www.youtube.com/watch?v=L_PzcgyqMwE,Pop,Folk,Rock
1974,47,The Night Chicago Died,Paper Lace,https://www.youtube.com/watch?v=p-L0NpaErkk,Rock,Electronic,Pop
1974,48,The Entertainer,Marvin Hamlisch,https://www.youtube.com/watch?v=XhFbKnXVg30,Jazz,Classical,Pop
1974,49,Waterloo,ABBA,https://www.youtube.com/watch?v=3FsVeMz1F5c,Pop,Rock,Folk
1974,50,The Air That I Breathe,The Hollies,https://www.youtube.com/watch?v=70rm31ClOiE,Pop,Rock,Country
1975,1,Love Will Keep Us Together,Captain & Tennille,https://www.youtube.com/watch?v=_QNEf9oGw8o,Pop,Rock,Jazz
1975,2,Rhinestone Cowboy,Glen Campbell,https://www.youtube.com/watch?v=8kAU3B9Pi_U,Pop,Rock,Folk
1975,3,Philadelphia Freedom,Elton John,https://www.youtube.com/watch?v=hwcmvKvc91Q,Pop,Rock,Folk
1975,4,Before the Next Teardrop Falls,Freddy Fender,https://www.youtube.com/watch?v=xsCTKMwvK20,Jazz,Classical,Rock
1975,5,My Eyes Adored You,Frankie Valli,https://www.youtube.com/watch?v=vYtpKBNTCB8,Rock,Pop,Jazz
1975,6,Some Kind of Wonderful,Grand Funk Railroad,https://www.youtube.com/watch?v=dxEKa4dlKVw,Rock,Pop,Folk
1975,7,Shining Star,"Earth, Wind & Fire",https://www.youtube.com/watch?v=Zu9a29UR2dU,Pop,Rock,Electronic
1975,8,Fame,David Bowie,https://www.youtube.com/watch?v=9tnRWcEg6i8,Rock,Pop,Spoken
1975,9,Laughter in the Rain,Neil Sedaka,https://www.youtube.com/watch?v=MtIibcNDQ6o,Rock,Spoken,Pop
1975,10,One of These Nights,Eagles,https://www.youtube.com/watch?v=ESc2Tq2HzhQ,Rock,Pop,Folk
1975,11,Thank God I'm a Country Boy,John Denver,https://www.youtube.com/watch?v=Un76G6mZgCY,Rock,Pop,Instrumental
1975,12,Jive Talkin',Bee Gees,https://www.youtube.com/watch?v=oALKAh_bL5g,Pop,Rock,Blues
1975,13,Best of My Love,Eagles,https://www.youtube.com/watch?v=iU-wXrdh-8U,Pop,Rock,Folk
1975,14,Lovin' You,Minnie Riperton,https://www.youtube.com/watch?v=K7MqTrXwojk,Pop,Instrumental,Jazz
1975,15,Kung Fu Fighting,Carl Douglas,https://www.youtube.com/watch?v=RqIw42FL3l0,Pop,Rock,Folk
1975,16,Black Water,The Doobie Brothers,https://www.youtube.com/watch?v=m4oZCtfmh44,Jazz,Classical,Instrumental
1975,17,The Ballroom Blitz,Sweet,https://www.youtube.com/watch?v=tqketmsRz1E,Rock,Pop,Folk
1975,18,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas,https://www.youtube.com/watch?v=QyrRYIrhLL0,Pop,Country,Rock
1975,19,He Don't Love You (Like I Love You),Tony Orlando and Dawn,https://www.youtube.com/watch?v=Iak3KnPVZ94,Pop,Rock,Folk
1975,20,At Seventeen,Janis Ian,https://www.youtube.com/watch?v=VMUz2TNMvL0,Rock,Folk,Pop
1975,21,Pick Up the Pieces,Average White Band,https://www.youtube.com/watch?v=xpflST8xWm8,Jazz,Electronic,Rock
1975,22,The Hustle,Van McCoy & the Soul City Symphony,https://www.youtube.com/watch?v=wj23_nDFSfE,Rock,Pop,Folk
1975,23,Lady Marmalade,Labelle,https://www.youtube.com/watch?v=t4LWIP7SAjY,Jazz,Pop,Rock
1975,24,Why Can't We Be Friends?,War,https://www.youtube.com/watch?v=sH0Qda32IKM,Rock,Pop,Spoken
1975,25,Love Won't Let Me Wait,Major Harris,https://www.youtube.com/watch?v=zG9K0x5MGDc,Jazz,Pop,Rock
1975,26,Boogie On Reggae Woman,Stevie Wonder,https://www.youtube.com/watch?v=MkmlHBf3Yak,Jazz,Electronic,Instrumental
1975,27,Wasted Days and Wasted Nights,Freddy Fender,https://www.youtube.com/watch?v=ZGN5Bn7EKN4,Rock,Classical,Folk
1975,28,Angie Baby,Helen Reddy,https://www.youtube.com/watch?v=UQKyGt_I5L4,Rock,Pop,Folk
1975,29,Fight the Power,The Isley Brothers,https://www.youtube.com/watch?v=8QZvoOqUkqw,Jazz,Electronic,Instrumental
1975,30,Jackie Blue,Ozark Mountain Daredevils,https://www.youtube.com/watch?v=Qr0hcoksupQ,Rock,Pop,Jazz
1975,31,Fire,Ohio Players,https://www.youtube.com/watch?v=zRtajmICBnU,Jazz,Rock,Pop
1975,32,Magic,Pilot,https://www.youtube.com/watch?v=MzlK0OGpIRs,Rock,Pop,Spoken
1975,33,Please Mr. Postman,The Carpenters,https://www.youtube.com/watch?v=AHfddvbKb4w,Pop,Folk,Rock
1975,34,Sister Golden Hair,America,https://www.youtube.com/watch?v=XIycEe59Auc,Spoken,Pop,Rock
1975,35,Lucy in the Sky with Diamonds,Elton John,https://www.youtube.com/watch?v=zJtAAg_jAjk,Pop,Rock,Folk
1975,36,Mandy,Barry Manilow,https://www.youtube.com/watch?v=AvGpvQbkccE,Rock,Pop,Folk
1975,37,Have You Never Been Mellow,Olivia Newton-John,https://www.youtube.com/watch?v=t2S1nmxYmUg,Rock,Pop,Jazz
1975,38,Could It Be Magic,Barry Manilow,https://www.youtube.com/watch?v=UC7oRmafIVQ,Classical,Jazz,Instrumental
1975,39,Cat's in the Cradle,Harry Chapin,https://www.youtube.com/watch?v=gTP7NEZDQr8,Pop,Rock,Folk
1975,40,Wildfire,Michael Martin Murphey,https://www.youtube.com/watch?v=8raV2MZQJjk,Rock,Pop,Folk
1975,41,I'm Not Lisa,Jessi Colter,https://www.youtube.com/watch?v=ZOgTVJOdFVU,Jazz,Folk,Spoken
1975,42,Listen to What the Man Said,Wings,https://www.youtube.com/watch?v=YxslbXDBmaY,Pop,Rock,Folk
1975,43,I'm Not in Love,10cc,https://www.youtube.com/watch?v=STugQ0X1NoI,Rock,Pop,Folk
1975,44,I Can Help,Billy Swan,https://www.youtube.com/watch?v=tBBw1MEOMWI,Pop,Rock,Folk
1975,45,Fallin' in Love,"Hamilton, Joe Frank & Reynolds",https://www.youtube.com/watch?v=TviRQl5FvU0,Rock,Instrumental,Electronic
1975,46,Feelings,Morris Albert,https://www.youtube.com/watch?v=sr_yaZQmRzA,Pop,Jazz,Classical
1975,47,When Will I Be Loved,Linda Ronstadt,https://www.youtube.com/watch?v=MiUvPr3_6iE,Instrumental,Rock,Pop
1975,48,Chevy Van,Sammy Johns,https://www.youtube.com/watch?v=nsBPsPl9BZE,Rock,Folk,Pop
1975,49,"You're the First, the Last, My Everything",Barry White,https://www.youtube.com/watch?v=E7zmRvhFEYo,Rock,Pop,Electronic
1975,50,Please Mr. Please,Olivia Newton-John,https://www.youtube.com/watch?v=Z6-INkIW0dw,Jazz,Rock,Pop
1976,1,Silly Love Songs,Wings,https://www.youtube.com/watch?v=ap87QgZKTNw,Jazz,Rock,Pop
1976,2,Don't Go Breaking My Heart,"Elton John,Kiki Dee,",https://www.youtube.com/watch?v=z0qW9P-uYfM,Spoken,Pop,Rock
1976,3,Disco Lady,Johnnie Taylor,https://www.youtube.com/watch?v=qOPYn1l1pvw,Jazz,Instrumental,Pop
1976,4,"December, 1963 (Oh, What a Night)",The Four Seasons,https://www.youtube.com/watch?v=zHmKP0uQNLg,Jazz,Rock,Instrumental
1976,5,Play That Funky Music,Wild Cherry,https://www.youtube.com/watch?v=SFiv9M577a4,Rock,Pop,Instrumental
1976,6,Kiss and Say Goodbye,The Manhattans,https://www.youtube.com/watch?v=wtjro7_R3-4,Jazz,Rock,Folk
1976,7,Love Machine,The Miracles,https://www.youtube.com/watch?v=WHcQ5wRZ9iU,Rock,Pop,Instrumental
1976,8,50 Ways to Leave Your Lover,Paul Simon,https://www.youtube.com/watch?v=ABXtWqmArUU,Jazz,Pop,Rock
1976,9,Love Is Alive,Gary Wright,https://www.youtube.com/watch?v=KO75Ct234nc,Pop,Electronic,Rock
1976,10,A Fifth of Beethoven,Walter Murphy,https://www.youtube.com/watch?v=0ouMaLRth-s,Rock,Pop,Electronic
1976,11,Sara Smile,Hall & Oates,https://www.youtube.com/watch?v=dYEpFJhuu1E,Rock,Folk,Pop
1976,12,Afternoon Delight,Starland Vocal Band,https://www.youtube.com/watch?v=wu1UXCdyNo0,Rock,Pop,Folk
1976,13,I Write the Songs,Barry Manilow,https://www.youtube.com/watch?v=934QpLtK05s,Rock,Pop,Jazz
1976,14,"Fly, Robin, Fly",Silver Convention,https://www.youtube.com/watch?v=oUPdG4DA42g,Rock,Pop,Electronic
1976,15,Love Hangover,Diana Ross,https://www.youtube.com/watch?v=yOzO_4NS8NI,Pop,Rock,Jazz
1976,16,Get Closer,Seals and Crofts,https://www.youtube.com/watch?v=6aSvzT7nuF4,Pop,Rock,Folk
1976,17,"More, More, More",Andrea True Connection,https://www.youtube.com/watch?v=73RYirgeLV4,Jazz,Rock,Pop
1976,18,Bohemian Rhapsody,Queen,https://www.youtube.com/watch?v=P3nng0HOhC4,Pop,Rock,Folk
1976,19,Misty Blue,Dorothy Moore,https://www.youtube.com/watch?v=RMONGMDEerI,Pop,Rock,Folk
1976,20,Boogie Fever,The Sylvers,https://www.youtube.com/watch?v=YHKCHvpYq_8,Pop,Jazz,Folk
1976,21,I'd Really Love to See You Tonight,England Dan & John Ford Coley,https://www.youtube.com/watch?v=P8RShs00yR0,Rock,Pop,Folk
1976,22,You Sexy Thing,Hot Chocolate,https://www.youtube.com/watch?v=E3fX2_bxEkg,Rock,Pop,Folk
1976,23,Love Hurts,Nazareth,https://www.youtube.com/watch?v=soDZBW-1P04,Pop,Rock,Folk
1976,24,Get Up and Boogie,Silver Convention,https://www.youtube.com/watch?v=hKGrfC1860o,Electronic,Pop,Spoken
1976,25,Take It to the Limit,Eagles,https://www.youtube.com/watch?v=tJkW0Clsvrk,Rock,Pop,Instrumental
1976,26,"(Shake, Shake, Shake) Shake Your Booty",KC and the Sunshine Band,https://www.youtube.com/watch?v=l3fZuW-aJsg,Electronic,Instrumental,Rock
1976,27,Sweet Love,Commodores,https://www.youtube.com/watch?v=OPT3ZzxJlRM,Jazz,Instrumental,Pop
1976,28,Right Back Where We Started From,Maxine Nightingale,https://www.youtube.com/watch?v=ckCwBAhz4oc,Electronic,Rock,Instrumental
1976,29,Theme from ,Rhythm Heritage,https://www.youtube.com/watch?v=eS-GcJEsTBo,Spoken,Pop,Jazz
1976,30,Love Rollercoaster,Ohio Players,https://www.youtube.com/watch?v=9VH6yD8zobM,Pop,Rock,Jazz
1976,31,You Should Be Dancing,Bee Gees,https://www.youtube.com/watch?v=_JoZS6LgqYI,Instrumental,Electronic,Pop
1976,32,You'll Never Find Another Love Like Mine,Lou Rawls,https://www.youtube.com/watch?v=7RPjCUhHzsU,Pop,Rock,Spoken
1976,33,Golden Years,David Bowie,https://www.youtube.com/watch?v=1Dx2XPdmvpY,Pop,Rock,Folk
1976,34,Moonlight Feels Right,Starbuck,https://www.youtube.com/watch?v=HYnQsvtfEsQ,Pop,Rock,Country
1976,35,Only Sixteen,Dr. Hook,https://www.youtube.com/watch?v=olQNes_mq8I,Jazz,Classical,Folk
1976,36,Let Your Love Flow,The Bellamy Brothers,https://www.youtube.com/watch?v=FQQj2rQBFvA,Rock,Pop,Instrumental
1976,37,Dream Weaver,Gary Wright,https://www.youtube.com/watch?v=xZKuzwPOefs,Pop,Spoken,Rock
1976,38,Turn the Beat Around,Vicki Sue Robinson,https://www.youtube.com/watch?v=vz9pZW5OvM4,Pop,Rock,Folk
1976,39,Lonely Night (Angel Face),Captain & Tennille,https://www.youtube.com/watch?v=a2pA8XZRb7c,Rock,Jazz,Pop
1976,40,All by Myself,Eric Carmen,https://www.youtube.com/watch?v=iN9CjAfo5n0,Jazz,Classical,Rock
1976,41,Love to Love You Baby,Donna Summer,https://www.youtube.com/watch?v=V5AztWseIdU,Spoken,Pop,Rock
1976,42,Deep Purple,"Donny,Marie Osmond,",https://www.youtube.com/watch?v=CXIENnTJ5a8,Rock,Pop,Instrumental
1976,43,Theme from ,Diana Ross,https://www.youtube.com/watch?v=eS-GcJEsTBo,Spoken,Pop,Jazz
1976,44,Sweet Thing,Rufus,https://www.youtube.com/watch?v=ZLaj4VMQfxc,Pop,Jazz,Folk
1976,45,That's the Way (I Like It),KC and the Sunshine Band,https://www.youtube.com/watch?v=Ajrir__HG9o,Rock,Instrumental,Electronic
1976,46,A Little Bit More,Dr. Hook,https://www.youtube.com/watch?v=uF0_947VPNA,Spoken,Pop,Folk
1976,47,Shannon,Henry Gross,https://www.youtube.com/watch?v=R5Wpn3dFrEs,Rock,Jazz,Pop
1976,48,If You Leave Me Now,Chicago,https://www.youtube.com/watch?v=-9_d-sFhmRM,Jazz,Classical,Rock
1976,49,Lowdown,Boz Scaggs,https://www.youtube.com/watch?v=I-hKBmTAADo,Pop,Rock,Folk
1976,50,Show Me the Way,Peter Frampton,https://www.youtube.com/watch?v=UAynwzutk0A,Rock,Electronic,Instrumental
1977,1,Tonight's the Night (Gonna Be Alright),Rod Stewart,https://www.youtube.com/watch?v=IZr6AE-u2UM,Pop,Rock,Folk
1977,2,I Just Want to Be Your Everything,Andy Gibb,https://www.youtube.com/watch?v=tA6L8-lxaA8,Jazz,Pop,Rock
1977,3,Best of My Love,The Emotions,https://www.youtube.com/watch?v=1ebosz4VbE8,Electronic,Spoken,Rock
1977,4,Evergreen (Love Theme from ,Barbra Streisand,https://www.youtube.com/watch?v=udLeOOy6em4,Classical,Jazz,Folk
1977,5,Angel in Your Arms,Hot,https://www.youtube.com/watch?v=bku5VetnNvc,Pop,Folk,Rock
1977,6,I Like Dreamin',Kenny Nolan,https://www.youtube.com/watch?v=yb2OweNMQvo,Rock,Spoken,Folk
1977,7,Don't Leave Me This Way,Thelma Houston,https://www.youtube.com/watch?v=rUdw7V-FC_Q,Rock,Pop,Electronic
1977,8,(Your Love Has Lifted Me) Higher and Higher,Rita Coolidge,https://www.youtube.com/watch?v=mC6l7ypNqKA,Jazz,Rock,Instrumental
1977,9,Undercover Angel,Alan O'Day,https://www.youtube.com/watch?v=G-xRMw0NyW0,Pop,Rock,Folk
1977,10,Torn Between Two Lovers,Mary MacGregor,https://www.youtube.com/watch?v=w1F5BLLFAeM,Classical,Instrumental,Rock
1977,11,I'm Your Boogie Man,KC and the Sunshine Band,https://www.youtube.com/watch?v=L73V8_VmqBQ,Rock,Pop,Electronic
1977,12,Dancing Queen,ABBA,https://www.youtube.com/watch?v=xFrGuyw1V8s,Rock,Country,Pop
1977,13,You Make Me Feel Like Dancing,Leo Sayer,https://www.youtube.com/watch?v=HhSjwU8gEsI,Spoken,Pop,Rock
1977,14,Margaritaville,Jimmy Buffett,https://www.youtube.com/watch?v=ue2-ZVxpVjc,Pop,Rock,Folk
1977,15,Telephone Line,Electric Light Orchestra,https://www.youtube.com/watch?v=KfCDhjc1IWw,Pop,Rock,Jazz
1977,16,Whatcha Gonna Do?,Pablo Cruise,https://www.youtube.com/watch?v=6MugNC1nIYA,Rock,Instrumental,Folk
1977,17,Do You Wanna Make Love,Peter McCann,https://www.youtube.com/watch?v=9Kj-tdp7reE,Electronic,Instrumental,Rock
1977,18,Sir Duke,Stevie Wonder,https://www.youtube.com/watch?v=s6fPN5aQVDI,Jazz,Pop,Rock
1977,19,Hotel California,Eagles,https://www.youtube.com/watch?v=09839DpTctU,Rock,Pop,Electronic
1977,20,Got to Give It Up,Marvin Gaye,https://www.youtube.com/watch?v=qhFNY9zW2F4,Spoken,Jazz,Pop
1977,21,Gonna Fly Now,Bill Conti,https://www.youtube.com/watch?v=zHd3vzyM1fw,Classical,Jazz,Folk
